prime,related_target,unrelated_target
bread,butter,bicycle
table,chair,cloud
dog,cat,screwdriver
sun,moon,envelope
doctor,nurse,anchor
king,queen,potato
pencil,paper,mountain
shoe,sock,telescope
hammer,nail,orange
needle,thread,keyboard
salt,pepper,railway
lion,tiger,umbrella
fork,spoon,bicycle
book,page,trumpet
coffee,tea,hammer
thunder,lightning,onion
river,water,printer
music,song,carpet
finger,thumb,volcano
letter,envelope,bicycle
black,white,carrot
tall,short,bicycle
cold,hot,stapler
happy,sad,screwdriver
fast,slow,onion
chicken,egg,wrench
baby,cradle,envelope
winter,snow,bicycle
garden,flower,refrigerator
school,teacher,sailboat
piano,keys,anchor
doctor,hospital,stapler
car,wheel,carrot
airplane,pilot,screwdriver
farm,cow,computer
fire,smoke,umbrella
beach,sand,printer
mountain,peak,screwdriver
ocean,wave,keyboard
desert,cactus,refrigerator
